category|title|description
thoi-su             |Lộ trình chuyển chuyến bay từ Tân Sơn Nhất sang Long Thành                                                                                                                                              |TP HCMGiai đoạn đầu khai thác năm 2026, Long Thành chưa tiếp nhận toàn bộ bay quốc tế từ Tân Sơn Nhất mà dựa vào tiến độ dự án, giao thông kết nối, theo Cục Hàng không.                                                                                                                                                                                                                                                                                                                                            
thoi-su             |Sở Quy hoạch - Kiến trúc TP HCM hoạt động từ ngày 1/10                                                                                                                                                  |Việc tái lập Sở Quy hoạch - Kiến trúc được HĐND thành phố thông qua tại kỳ họp chuyên đề ngày 29/9 và chính thức hoạt động từ đầu tháng 10.                                                                                                                                                                                                                                                                                                                                                                         
thoi-su             |Đường 'tử thần' ở cửa ngõ TP HCM sắp được mở rộng lên 30 m                                                                                                                                              |Sau 10 năm đình trệ, dự án mở rộng đường Nguyễn Duy Trinh (TP Thủ Đức cũ) được khởi động lại với tổng vốn tăng hơn gấp đôi, lên 1.859 tỷ đồng, hoàn thành năm 2027.                                                                                                                                                                                                                                                                                                                                                 
thoi-su             |Nhà cửa đổ sập, tốc mái khi bão Bualoi quét qua                                                                                                                                                         |Hàng loạt ngôi nhà ở các tỉnh miền Trung bị tốc mái, đổ sập khi bão Bualoi quét qua, gây thiệt hại lớn về tài sản và ảnh hưởng đời sống người dân.                                                                                                                                                                                                                                                                                                                                                                  
thoi-su             |Giông lốc khiến 9 người ở Ninh Bình tử vong                                                                                                                                                             |Sáng 29/9, giông lốc do ảnh hưởng bão số 10 quét qua nhiều xã ở Ninh Bình khiến 9 người tử vong, 18 người bị thương, hàng trăm ngôi nhà, trường học và hạ tầng điện lực hư hỏng nặng.                                                                                                                                                                                                                                                                                                                               
thoi-su             |9 ngư dân TP HCM mất tích trên hai tàu cá                                                                                                                                                               |Quảng Trị13 thuyền viên tàu cá TP HCM đang neo đậu trú bão ở phường Bắc Giang thì bị đứt dây neo, trôi ra biển, 4 người bơi vào bờ, 9 người mất tích.                                                                                                                                                                                                                                                                                                                                                               
thoi-su             |Những cô giáo gánh 'cơm có thịt' lên non cho học trò                                                                                                                                                    |Cao Bằng5h sáng, cô giáo Nông Lê Luyện buộc chặt gần 20 kg thực phẩm cùng ba lô sách vở lên xe máy, bắt đầu một ngày đi dạy.                                                                                                                                                                                                                                                                                                                                                                                        
thoi-su             |12 người tử vong, 17 ngư dân mất liên lạc do bão Bualoi                                                                                                                                                 |Bão Bualoi làm 12 người chết, gồm 9 người ở Ninh Bình, 3 người Thanh Hóa, Huế và Đà Nẵng; 17 ngư dân trên ba tàu cá của TP HCM và Gia Lai mất liên lạc.                                                                                                                                                                                                                                                                                                                                                             
thoi-su             |Loạt gầm cầu ở TP HCM thành nơi đậu xe, đổ rác                                                                                                                                                          |Nhiều gầm cầu bị chiếm dụng để đậu ôtô, đổ rác tiềm ẩn nguy cơ cháy nổ, mất an toàn kết cấu công trình.                                                                                                                                                                                                                                                                                                                                                                                                             
thoi-su             |Ông Hoàng Quốc Khánh tái cử Bí thư tỉnh Sơn La                                                                                                                                                          |Ông Hoàng Quốc Khánh, Bí thư Tỉnh ủy khóa 15, được bầu giữ chức Bí thư Tỉnh ủy Sơn La nhiệm kỳ 2025-2030 vơi số phiếu tán thành tuyệt đối.                                                                                                                                                                                                                                                                                                                                                                          
thoi-su             |Phát hiện đạn pháo dài nửa mét khi dọn cây                                                                                                                                                              |Quảng NgãiKhi đang tỉa dọn cây xanh trên đường ở xã Nghĩa Hành, ông Lê Quang Thạch, nhân viên công ty môi trường đô thị, phát hiện quả đạn pháo.                                                                                                                                                                                                                                                                                                                                                                    
thoi-su             |Đèo Bảo Lộc bị sạt lở                                                                                                                                                                                   |Lâm ĐồngMưa lớn hai ngày qua khiến đất đá, cây bụi tràn xuống đèo Bảo Lộc trên quốc lộ 20, gây nguy hiểm cho người và xe đi qua, chiều 28/9.                                                                                                                                                                                                                                                                                                                                                                        
thoi-su             |Ba người trong gia đình tử vong ở vườn ổi                                                                                                                                                               |Vĩnh LongVợ chồng và con trai ra vườn thu hoạch ổi bị điện giật tử vong, ngày 28/9.                                                                                                                                                                                                                                                                                                                                                                                                                                 
kinh-doanh          |Cuộc cải tổ tỷ USD của Starbucks                                                                                                                                                                        |Nhằm vực dậy kinh doanh ở Bắc Mỹ, CEO Starbucks tung kế hoạch tái cấu trúc 1 tỷ USD để đóng hàng trăm cửa hàng và sa thải nhân sự,                                                                                                                                                                                                                                                                                                                                                                                  
giai-tri            |"""Chăm sóc bản thân thật sự"" - Làm cách nào để chăm sóc bản thân đúng cách?                                                                                                                              "|"Gần đây, khái niệm ""chăm sóc bản thân"" tràn ngập khắp mạng xã hội.                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
the-thao            |Man City thắng lớn nhất từ đầu mùa Ngoại hạng Anh                                                                                                                                                       |AnhThầy trò Pep Guardiola đè bẹp tân binh Burnley 5-1 ở vòng 6 giải Ngoại hạng Anh.                                                                                                                                                                                                                                                                                                                                                                                                                                 
the-thao            |Cụ ông 86 tuổi chinh phục đỉnh núi hơn 8.000 mét                                                                                                                                                        |Huyền thoại leo núi người Tây Ban Nha Carlos Soria trở thành người cao tuổi nhất thế giới từng chinh phục đỉnh núi trên 8.000 m, viết nên trang sử mới của leo núi mạo hiểm.                                                                                                                                                                                                                                                                                                                                        
the-thao            |Lý Hoàng Nam thua tay vợt số một thế giới ở PPA Tour châu Á                                                                                                                                             |MalaysiaTay vợt pickleball Lý Hoàng Nam dừng bước ở bán kết đơn nam Pro sự kiện Malaysia Cup sau khi thua Christian Alshon 0-2 sáng 27/9.                                                                                                                                                                                                                                                                                                                                                                           
the-thao            |Dembele bỏ cách Yamal thế nào ở Quả Bóng Vàng 2025?                                                                                                                                                     |Ousmane Dembele vượt qua người đứng thứ hai Lamine Yamal với cách biệt 321 điểm ở giải thưởng Quả Bóng Vàng 2025, theo công bố của đơn vị chủ quản France Football.                                                                                                                                                                                                                                                                                                                                                 
the-thao            |Merson: 'Arsenal hết cửa đua vô địch nếu thua Newcastle'                                                                                                                                                |AnhTheo cựu danh thủ Paul Merson, Arsenal sẽ sớm chấm dứt hy vọng vô địch Ngoại hạng Anh nếu thua Newcastle và để Liverpool nới rộng cách biệt lên 8 điểm.                                                                                                                                                                                                                                                                                                                                                          
the-thao            |LĐBĐ Malaysia: 'Sẽ kháng cáo đến cùng án phạt của FIFA'                                                                                                                                                 |MalaysiaLĐBĐ Malaysia (FAM) khẳng định làm việc minh bạch và sẽ sử dụng mọi thủ tục pháp lý sau khi bị FIFA phạt nặng vì 7 cầu thủ vi phạm tư cách thi đấu.                                                                                                                                                                                                                                                                                                                                                         
the-thao            |Dư luận Malaysia phẫn nộ và xấu hổ sau án cấm của FIFA                                                                                                                                                  |MalaysiaTruyền thông và người hâm mộ Malaysia yêu cầu LĐBĐ nước nhà có câu trả lời rõ ràng sau án phạt nặng của FIFA liên quan đến nhóm cầu thủ nhập tịch.                                                                                                                                                                                                                                                                                                                                                          
the-thao            |CLB Tây Ban Nha khiếu nại vụ FIFA cấm 7 cầu thủ Malaysia                                                                                                                                                |"Vụ làm giả hồ sơ cầu thủ nhập tịch của Malaysia trở thành ""bê bối toàn cầu"", khi họ bị FIFA cấm thi đấu một năm nên không được chơi cả ở cấp CLB.                                                                                                                                                                                                                                                                                                                                                                   "
the-thao            |Tội đồ làm Sinner dính doping không ân hận                                                                                                                                                              |Giacomo Naldi, chuyên gia vật lý trị liệu khiến Jannik Sinner dương tính chất cấm, cho biết anh vẫn giữ quan hệ tốt đẹp với tay vợt Italy.                                                                                                                                                                                                                                                                                                                                                                          
the-thao            |Gravenberch - 'vũ khí' mới từ tuyến giữa của Liverpool                                                                                                                                                  |Từ vị trí lùi sâu và không ghi bàn ở Ngoại hạng Anh mùa trước, tiền vệ Ryan Gravenberch đang tiến hóa, trở thành một phiên bản toàn diện hơn và đã hai lần lập công cho Liverpool mùa này.                                                                                                                                                                                                                                                                                                                          
the-thao            |Hà Nội FC ngắt mạch trận thất vọng                                                                                                                                                                      |Hà NộiHà Nội FC thắng Thanh Hóa 2-1 ở vòng 5 V-League 2025-2026, để ngắt mạch năm trận toàn hòa và thua từ đầu mùa.                                                                                                                                                                                                                                                                                                                                                                                                 
giai-tri            |"""Yêu nữ thích hàng hiệu 2"" lộ hình ảnh diễn viên ăn diện xa xỉ, thời thượng                                                                                                                             "|"Phim ""Yêu nữ thích hàng hiệu 2"" (The devil wears Prada 2) liên tục lộ hình ảnh diễn viên ăn diện thời thượng khi đang quay ở Mỹ. Các hãng thời                                                                                                                                                                                                                                                                                                                                                                      "
giai-tri            |Cuộc sống bắt đầu ở cuối vòng tròn an toàn của bạn                                                                                                                                                     |"""Hạt giống tâm hồn 4 - Từ những điều bình dị"" đem đến cho độc giả những trải nghiệm đáng nhớ....                                                                                                                                                                                                                                                                                                                                                                                                                    "
giai-tri            |"""Thay câu hỏi đổi cuộc đời"": Thành công tạo ra từ những câu hỏi thực tế                                                                                                                                 "|Nếu kiên trì đặt ra cho mình những câu hỏi và dám đi tìm câu trả lời, cuộc đời của bạn sẽ không ngừng vươn đến những điều tốt đẹp.                                                                                                                                                                                                                                                                                                                                                                                  
the-gioi            |Cách 'vua ma túy mới' của Mexico đưa hàng tấn cocaine vào Mỹ                                                                                                                                            |"Từ nơi ẩn náu trong lòng núi, Nemesio ""Mencho"" Oseguera, cai trị đế chế của mình với tư cách ""vua ma túy mới của Mexico"" khi nhu cầu cocaine ở Mỹ gia tăng.                                                                                                                                                                                                                                                                                                                                                         "
the-gioi            |Ông Trump sẽ dự cuộc họp cùng hàng trăm tướng Mỹ                                                                                                                                                        |Tổng thống Trump sẽ dự cuộc họp với hàng trăm tướng lĩnh tại bang Virginia, cho biết sự kiện bàn về những thành tựu trong lĩnh vực quân sự.                                                                                                                                                                                                                                                                                                                                                                         
the-gioi            |Lầu Năm Góc triển khai 200 lính vệ binh, bang Mỹ khởi kiện                                                                                                                                              |Bộ trưởng Quốc phòng Mỹ ký lệnh điều động 200 lính Vệ binh Quốc gia bang Oregon, khiến giới chức bang nộp đơn kiện để ngăn cản.                                                                                                                                                                                                                                                                                                                                                                                     
the-gioi            |'Mẹ mìn' bán trẻ sơ sinh sang Mỹ bị bắt                                                                                                                                                                 |Giới chức Mexico phối hợp với Mỹ bắt bà trùm Aguilar, cáo buộc bà ta cầm đầu đường dây mổ lấy tạng thai phụ, buôn bán trẻ sơ sinh sang Mỹ.                                                                                                                                                                                                                                                                                                                                                                          
the-gioi            |Tổng thống Colombia 'không bận tâm' việc bị Mỹ hủy visa                                                                                                                                                 |"Tổng thống Colombia Petro bày tỏ không bận tâm sau khi Mỹ thông báo sẽ hủy thị thực của ông vì những phát biểu ""kích động"" ở New York.                                                                                                                                                                                                                                                                                                                                                                              "
the-gioi            |Nghi phạm xả súng, đốt nhà thờ Mỹ là cựu lính thủy đánh bộ                                                                                                                                              |Nghi phạm Sanford, 40 tuổi, xả súng, phóng hỏa nhà thờ Michigan khiến ít nhất 4 người chết là cựu lính thủy đánh bộ, từng tham chiến ở Iraq.                                                                                                                                                                                                                                                                                                                                                                        
the-gioi            |Hamas kêu gọi Israel ngừng tập kích để tìm con tin                                                                                                                                                      |Lữ đoàn al-Qassam, cánh vũ trang của Hamas, kêu gọi Israel ngừng không kích để tìm kiếm hai con tin mất tích.                                                                                                                                                                                                                                                                                                                                                                                                       
the-gioi            |Việt Nam coi chống tội phạm mạng là ưu tiên chính sách an ninh quốc gia                                                                                                                                 |Chủ tịch nước nhấn mạnh tội phạm mạng là hiểm họa toàn cầu và chống tội phạm mạng là ưu tiên trong chính sách an ninh quốc gia của Việt Nam.                                                                                                                                                                                                                                                                                                                                                                        
the-gioi            |Xả súng, đốt nhà thờ tại Mỹ                                                                                                                                                                             |Ít nhất 4 người chết, 8 người bị thương sau vụ xả súng tại nhà thờ ở bang Michigan của Mỹ, nghi phạm dường như còn phóng hỏa công trình.                                                                                                                                                                                                                                                                                                                                                                            
the-gioi            |Taliban trả tự do cho công dân Mỹ sau 9 tháng giam giữ                                                                                                                                                  |Amir Amiri, bị bắt giam ở Afghanistan từ tháng 12/2024, trở thành công dân Mỹ thứ 5 được Taliban trả tự do trong năm nay.                                                                                                                                                                                                                                                                                                                                                                                           
the-gioi            |Cựu bộ trưởng nông nghiệp Trung Quốc bị kết án tử hình                                                                                                                                                  |Cựu bộ trưởng nông nghiệp Đường Nhân Kiện bị tòa án Trung Quốc tuyên án tử hình vì tội tham nhũng, song được hoãn thi hành án hai năm.                                                                                                                                                                                                                                                                                                                                                                              
the-gioi            |Chủ tịch Duma Quốc gia Nga thăm Bảo tàng Lịch sử Quân sự Việt Nam                                                                                                                                       |Chủ tịch Duma Quốc gia Nga thăm Bảo tàng Lịch sử Quân sự Việt Nam, nghe thuyết minh về các cuộc kháng chiến của nhân dân Việt Nam.                                                                                                                                                                                                                                                                                                                                                                                  
the-gioi            |Việt Nam đề nghị Nga chia sẻ kinh nghiệm triển khai 'Quốc hội thông minh'                                                                                                                               |"Chủ tịch Quốc hội Trần Thanh Mẫn hội đàm với Chủ tịch Duma Quốc gia Nga, đề nghị nước này chia sẻ kinh nghiệm triển khai ""Quốc hội thông minh"".                                                                                                                                                                                                                                                                                                                                                                     "
the-gioi            |Xả súng vào quán bar ở Mỹ, ba người thiệt mạng                                                                                                                                                          |Ba người chết và ít nhất 8 người bị thương sau khi nghi phạm lái thuyền áp sát quán bar ở Bắc Carolina và xả đạn vào bên trong.                                                                                                                                                                                                                                                                                                                                                                                     
the-gioi            |Thêm một nhà sư thiệt mạng trong vụ xe goòng rơi xuống sườn núi                                                                                                                                         |Sri LankaMột trong các nhà sư bị thương trong tai nạn xe goòng ở núi Na Uyana đã qua đời, khiến tổng số người thiệt mạng trong thảm kịch tăng lên 8.                                                                                                                                                                                                                                                                                                                                                                
the-gioi            |Chủ tịch Duma Quốc gia Nga thăm Việt Nam                                                                                                                                                                |Chủ tịch Duma Quốc gia Nga Vyacheslav Volodin hôm nay đến Hà Nội, bắt đầu thăm chính thức Việt Nam trong hai ngày 28 và 29/9.                                                                                                                                                                                                                                                                                                                                                                                       
the-gioi            |LHQ tái áp đặt lệnh trừng phạt, tiền Iran mất giá kỷ lục                                                                                                                                                |Giá trị đồng rial của Iran giảm xuống mức thấp kỷ lục so với USD, sau khi Liên Hợp Quốc tái áp đặt lệnh trừng phạt với nước này.                                                                                                                                                                                                                                                                                                                                                                                    
the-gioi            |Nga tập kích dữ dội, Ukraine báo động toàn quốc                                                                                                                                                         |Ukraine nói Nga phóng hàng trăm UAV và tên lửa vào nước này trong đêm, gây báo động toàn quốc, buộc Ba Lan điều tiêm kích bảo vệ không phận.                                                                                                                                                                                                                                                                                                                                                                        
the-gioi            |Trung Quốc thông xe cầu cao nhất thế giới                                                                                                                                                               |Cầu bắc qua hẻm núi Hoa Giang với độ cao tương đương hai tháp Eiffel xếp chồng lên nhau hôm nay thông xe, trở thành biểu tượng cho trình độ kỹ thuật của Trung Quốc.                                                                                                                                                                                                                                                                                                                                                
